user_id,movie_id,movie_title,genre,rating,timestamp
422,1,Inception,Sci-Fi,5,2023-08-17 23:20:00
958,8,Joker,Drama,2,2023-02-10 13:44:00
815,7,Parasite,Thriller,1,2023-12-11 05:41:00
180,2,Titanic,Romance,5,2023-03-15 14:24:00
186,10,Interstellar,Sci-Fi,5,2023-01-17 02:26:00
305,8,Joker,Drama,2,2023-09-02 01:59:00
852,5,The Matrix,Sci-Fi,1,2023-03-07 10:48:00
69,9,The Godfather,Crime,2,2023-12-21 12:55:00
572,5,The Matrix,Sci-Fi,5,2023-12-21 07:02:00
880,3,The Dark Knight,Action,1,2023-02-02 09:49:00
290,4,Forrest Gump,Drama,4,2023-09-07 02:50:00
711,9,The Godfather,Crime,5,2023-09-22 13:35:00
204,6,Avengers: Endgame,Action,2,2023-05-16 10:37:00
107,5,The Matrix,Sci-Fi,4,2023-06-13 18:23:00
597,2,Titanic,Romance,5,2023-09-20 02:10:00
64,3,The Dark Knight,Action,2,2023-12-24 07:25:00
839,3,The Dark Knight,Action,2,2023-05-08 03:29:00
824,5,The Matrix,Sci-Fi,3,2023-08-10 04:32:00
224,9,The Godfather,Crime,5,2023-10-27 10:08:00
489,5,The Matrix,Sci-Fi,2,2023-01-06 05:54:00
101,6,Avengers: Endgame,Action,3,2023-06-18 21:03:00
915,2,Titanic,Romance,1,2023-12-09 17:04:00
928,9,The Godfather,Crime,4,2023-11-10 00:04:00
606,1,Inception,Sci-Fi,3,2023-10-20 02:20:00
676,4,Forrest Gump,Drama,1,2023-12-06 04:23:00
642,6,Avengers: Endgame,Action,5,2023-06-16 01:11:00
387,10,Interstellar,Sci-Fi,3,2023-06-03 08:34:00
934,5,The Matrix,Sci-Fi,5,2023-05-19 22:27:00
829,4,Forrest Gump,Drama,5,2023-05-27 06:55:00
400,5,The Matrix,Sci-Fi,3,2023-01-11 05:51:00
864,10,Interstellar,Sci-Fi,4,2023-12-02 23:53:00
500,8,Joker,Drama,5,2023-11-13 11:20:00
550,1,Inception,Sci-Fi,1,2023-12-26 21:09:00
482,10,Interstellar,Sci-Fi,2,2023-02-18 22:14:00
169,4,Forrest Gump,Drama,4,2023-09-26 04:39:00
599,6,Avengers: Endgame,Action,4,2023-11-01 18:00:00
393,5,The Matrix,Sci-Fi,4,2023-04-16 05:53:00
962,10,Interstellar,Sci-Fi,4,2023-01-27 23:29:00
12,3,The Dark Knight,Action,5,2023-07-22 19:34:00
600,10,Interstellar,Sci-Fi,1,2023-07-06 14:48:00
21,9,The Godfather,Crime,1,2023-10-08 19:49:00
